📺央视频道,#genre#
靖天资讯,P2p://starvod.xyz:19806/db9b03374399434da716bae0cd93f784.ts
靖天综合,P2p://starvod.xyz:19806/75b3e6bac51d4f08ba7ed008892ad6c2.ts
靖天国际,P2p://starvod.xyz:19806/f349833dddb5488ab2ce1175246557c1.ts
靖天日本,P2p://starvod.xyz:19806/17ccd24c94514b0d928a3abd047add40.ts
靖天育乐,P2p://starvod.xyz:19806/9dfcf4658000439aadcf1feb841a8887.ts
采昌影剧,P2p://starvod.xyz:19806/33264996f0c14a369140623dca66da43.ts
三立戏剧,P2p://starvod.xyz:19806/eb30a7e16f1841c6900b45c8be342071.ts
TVBS新聞台,P2p://starvod.xyz:19806/b608ab000afc4cc19a467b01b6181840.ts
TVBS,P2p://starvod.xyz:19806/7f5153fe32e34c00b9597950419c56ac.ts
TVBS亚洲,P2p://starvod.xyz:19806/62e69ecfa7ad4edfa092d77d9a9347d1.ts
TVBS精采台,P2p://starvod.xyz:19806/e9b905add7be4a3abd0a1993053ab547.ts
寰宇新闻台湾台,P2p://starvod.xyz:19806/afe7794ac5bf40ba96830dd97318be8c.ts
MezzoLive,P2p://starvod.xyz:19806/e225423bad0b47e0a3c5669e3b6c7bb4.ts
博斯高球,P2p://starvod.xyz:19806/09f7ad0419d34f9ea25e278a1286005f.ts
智林體育台,P2p://starvod.xyz:19806/d233d3ca78fa48e193b47853ec433c5d.ts
Lifetime,P2p://starvod.xyz:19806/819f1d3fb92741c0b5caf39b5b8b165f.ts
HGTV居家樂活頻道,P2p://starvod.xyz:19806/21eb83d773344e3cae6316288af3818c.ts
LoveNature,P2p://starvod.xyz:19806/ba87030233c046908d7c7bfaa3ff9df6.ts
美食星球,P2p://starvod.xyz:19806/9d27c39385aa4b3cb200048b671e376b.ts
靖天綜合台,P2p://starvod.xyz:19806/75b3e6bac51d4f08ba7ed008892ad6c2.ts
靖洋戏剧,P2p://147.135.39.171:9906/6867a22a000b7799949ca28717b451f5.ts
Smart知識台,P2p://starvod.xyz:19806/91503615eaa2416b929e56f178be5100.ts
台视财经,P2p://starvod.xyz:19806/0817341552e94d809c49a1a48598b8f1.ts
台視綜合台,P2p://starvod.xyz:19806/c37a6ec58dd140ccab0e25b94849ee06.ts
民视第一,P2p://starvod.xyz:19806/6a62462b09e141a289c6882ef0ae3d6d.ts
民視台灣台,P2p://starvod.xyz:19806/0ad1202aa2fe4fb4872479db5e384e46.ts
i-Fun動漫台,P2p://starvod.xyz:19806/92ace855ba4b4ad7ab44089e3898eda4.ts
龍華電影,P2p://starvod.xyz:19806/574ee66b78d44e6e81450ae523041523.ts
龙华偶像,P2p://starvod.xyz:19806/b3c35c2e01d44a31b17efef0af0ebc64.ts
龙华戏剧,P2p://starvod.xyz:19806/6a6681f04fcc4478886cded08a10c658.ts
France24,P2p://starvod.xyz:19806/20b9a94c6da94dd1beb5676e1cf83ae6.ts
ELta影剧,P2p://starvod.xyz:19806/0ae8227ad4ca480499bdd9280ca57f7f.ts
ELTV生活英語台,P2p://starvod.xyz:19806/9695ed0ae2cc46c5a4c9c2bdb70fe1c8.ts
佛衛慈悲台,P2p://starvod.xyz:19806/8746432c89d049ed9e90a00658f01a7c.ts
EYE-戏剧,P2p://starvod.xyz:19806/5756cf2acc364bd5ab062db33ddfad4b.ts
八大优频道,P2p://147.135.39.171:9906/686141c600004a257bb419081c1d2844.ts
三立综合,P2p://147.135.39.171:9906/6869374a000888579acb331f46c77c60.ts
纬来精采,P2p://147.135.39.171:9906/68693691000447559ac85f5e03845769.ts
中视菁采,P2p://147.135.39.171:9906/6867a07b0000813094960c2053bb31ec.ts
中视经典,P2p://starvod.xyz:19806/c523db6b2af648daa7c4c6bc2b8b4fa0.ts
